QueryId,EntityId,Relevance D_BM25
001,904381,13.632854022280846
001,2489913,13.413187842690135
001,2500812,13.340474841614649
001,1856825,13.251569317171658
001,2505548,13.191617607437477
001,3085430,13.066164749899531
001,2494017,13.009024912232054
001,674435,12.957063327324033
001,527255,12.930253029048048
001,1471139,12.912111516413034
001,2497801,12.89412254023691
001,1899733,12.888389752184558
001,892073,12.776009591722149
001,2496972,12.765099204536817
001,2548600,12.658541765503749
001,2493408,12.646425754134377
001,758805,12.61606509765289
001,2484963,12.582688405972245
001,2505257,12.527905691760612
001,3539517,12.510401871958901
001,226717,12.457000131247963
001,1307876,12.440950208050317
001,2494455,12.43025830348071
001,2488060,12.43025830348071
001,2388788,12.409780458383626
001,831798,12.398833847785214
001,2498770,12.393786116578141
001,677503,12.364071283290954
001,3308250,12.34178253194061
001,2493885,12.307234039835283
001,2285900,12.2752318969003
001,3125858,12.270855206121341
001,2488004,12.26679339876916
001,2496606,12.24667775371415
001,1157046,12.235993595717819
001,866808,12.19035237456534
001,4340028,12.151601856269293
001,3917071,12.14406407424321
001,3130148,12.096919062118744
001,1060248,12.091267876320007
001,4053053,12.030154487370924
001,3856616,11.961286961795121
001,2988987,11.944983419289995
001,3539516,11.916603237852048
001,3887224,11.915426564498771
001,2522124,11.913949998916209
001,4024125,11.88263214950647
001,2056869,11.854370762801947
001,2286319,11.844377619483616
001,1933090,11.837914221644024
001,3693113,11.831370374857428
001,3678515,11.824983003159726
001,4190990,11.82240345048682
001,3030073,11.820207119481406
001,3402191,11.808032650562833
001,903076,11.797144849581244
001,3228630,11.794368567090576
001,442103,11.78127230293548
001,2340761,11.76163432131722
001,1537100,11.75842725068114
001,1622722,11.721859873445421
001,2448874,11.718173306943331
001,1544747,11.70190146257692
001,2957201,11.687923416200103
001,4066431,11.680548871601545
001,2478612,11.67115345654112
001,3408225,11.655746972127439
001,3359121,11.646624510785378
001,527263,11.64339660789732
001,1025140,11.629503161612433
001,3759677,11.627459598067757
001,1083984,11.625067792739564
001,2489002,11.61294947356404
001,2347481,11.602624071162438
001,2324617,11.581245289225716
001,755480,11.577763108923548
001,2474344,11.548310916270385
001,2484878,11.54400395098991
001,2483742,11.538854031353955
001,4236275,11.532866997021609
001,4273116,11.506582014476008
001,1770144,11.49903397682623
001,282335,11.48189596434385
001,2479190,11.479346559395296
001,3726468,11.460108564531446
001,2673962,11.456798557935183
001,3722313,11.447675804587696
001,843021,11.446960134583936
001,406359,11.43327274077302
001,975512,11.431477473684915
001,2412775,11.424844072719484
001,4388914,11.4231976684345
001,345094,11.406416722989972
001,3936110,11.400606040031814
001,1088931,11.393978865283893
001,3343986,11.391138233970782
001,4208873,11.358536434494956
001,3024357,11.334173939415425
001,903123,11.325255979376418
003,3816475,15.904598142780591
003,3633987,15.597053833263587
003,3634029,14.733090464114548
003,3634028,14.4324589042124
003,4359549,14.048156311012566
003,3633995,13.554482729495817
003,3816476,13.459207341025463
003,3816474,13.387978162494827
003,3816495,13.271413479270873
003,3224280,13.226555693925592
003,3816494,13.06592381168312
003,497663,12.987411956622678
003,3633998,12.744467208290128
003,2552405,12.709259162681132
003,3816493,12.546246416758668
003,3633960,12.224185247331938
003,775721,11.770548732490463
003,3633978,11.71015906924286
003,3548021,11.423381384395856
003,3633991,11.3987347699984
003,3633993,11.333863567173584
003,3633985,11.28857376230372
003,3634007,11.276031383338792
003,3633977,11.179988472554395
003,2496830,11.14876624688155
003,3634003,11.080777709348016
003,3634023,10.98315780440918
003,3633994,10.95147941702244
003,3634025,10.951065613481962
003,3816473,10.925354077637529
003,3634019,10.917863581023589
003,3816486,10.884673572473927
003,3816469,10.858150018648411
003,3634027,10.84272980207703
003,3816482,10.757424230363402
003,3633980,10.721399064362894
003,3816481,10.614609825474352
003,3816480,10.54513331509391
003,3633992,10.501070758881571
003,3816477,10.494606464855654
003,3634018,10.482703007199841
003,3886367,10.480176581673778
003,3633983,10.448490735709072
003,1717204,10.43157511885742
003,3816484,10.41254968926824
003,3633986,10.396004887806132
003,3634008,10.363640590844568
003,3633982,10.290019929664975
003,3634011,10.249683825552802
003,3816483,10.204610110782328
003,645387,10.165008169317408
003,3633972,10.088392650217472
003,3903713,10.061864611851743
003,3634017,10.033283160861584
003,3634009,9.960804611771351
003,3816478,9.765191447786567
003,2683008,9.737448009369174
