QueryId,EntityId
002,366601
002,2508826
002,3572540
002,1850915
002,3957054
002,2367833
002,2508842
002,758546
002,1196304
002,430538
002,2496309
002,3576520
002,2508807
002,1139430
002,3576393
002,846792
002,430530
002,3886015
002,1942183
002,3877176
002,400496
002,430506
002,2509109
002,3576510
002,481606
002,1024568
002,2798170
002,2496333
002,4058548
002,3651053
002,2508806
002,3672076
002,3576376
002,3682356
002,430448
002,2612362
002,2896512
002,955969
002,3651172
002,3576756
002,1255621
002,551044
002,3149819
002,3494659
002,482913
002,3670585
002,946959
002,2496328
002,3674979
002,3673715
002,430575
002,3262732
002,1989301
002,3721407
002,2509110
002,3576754
002,1862418
002,3402382
002,837572
002,4287776
002,3192913
002,558041
002,3741261
002,3261983
002,2544424
002,430524
002,430483
002,430423
002,4014187
002,3675278
002,1992343
002,3672263
002,1057028
002,4196645
002,3675252
002,1944484
002,3576502
002,332651
002,3016189
002,4011934
002,1216465
002,3891652
002,956021
002,3190701
002,741013
002,3894686
002,3671471
002,430488
002,4255469
002,2880987
002,3670666
002,3394680
002,3576496
002,3683797
002,2869391
002,401111
002,3736426
002,3352047
002,2508847
004,1842323
004,2198673
004,573230
004,759613
004,3138698
004,3145670
004,3138181
004,3138240
004,3248690
004,3463060
004,569665
004,3139815
004,1658568
004,563289
004,2684843
004,708945
004,3138439
004,3138304
004,3726763
004,569628
004,3899932
004,2946833
004,1841606
004,3140029
004,733960
004,88176
004,3139408
004,564284
004,1431282
004,3139175
004,3138806
004,3138418
004,172148
004,3139014
004,573225
004,3138157
004,183269
004,2408022
004,4627023
004,3138975
004,3433221
004,2266578
004,3053326
004,3138238
004,589404
004,567187
004,3138576
004,186149
004,3138925
004,4558722
004,3630910
004,2754760
004,181965
004,2132349
004,3066957
004,166001
004,1300992
004,166022
004,3139450
004,3432984
004,2071791
004,1531022
004,3472187
004,2345637
004,3138622
006,3066138
006,1976741
006,4116692
006,1078101
006,4474551
006,1731480
006,352183
006,3139368
006,1078109
006,3170461
006,2792527
006,3066143
006,4116694
006,2547066
006,2547065
006,2547067
006,3053326
006,4455610
006,1078104
006,185097
006,3546074
006,2547072
006,2384721
006,2172567
006,3595843
006,2547064
006,1836697
006,4271332
006,4143295
006,183269
006,3425718
006,1412944
006,2177465
006,1739296
006,3472545
006,2128341
006,2427684
006,1951055
008,1309851
008,1372011
008,4381520
008,4404730
008,2718310
008,1309864
008,2478701
008,2447580
008,3344742
008,1042535
008,1309856
008,3830178
008,1309863
008,1309858
008,1309860
008,2553621
008,1309855
008,1309854
008,1309862
008,1309857
008,1309852
008,1309861
008,1720839
008,2608707
008,3281489
008,297212
008,2590165
008,1309850
008,207533
008,1647361
008,4130373
008,3128473
008,4235340
008,3625295
008,1812298
008,1309859
008,1838869
008,1720838
008,2434018
008,1431569
008,657929
008,4094450
008,659027
008,1309849
008,1932543
008,1014323
008,4226862
008,2320482
008,2077371
008,1309853
008,1309865
008,3344549
008,4119015
008,3195095
008,3023726
008,969484
008,4275110
008,2072014
008,1269389
008,804471
008,4210637
008,1559497
008,713933
008,3448209
008,1914670
008,261367
008,3344840
008,1453566
008,4384607
008,3220153
008,2914614
008,3185075
008,2917909
008,4010057
008,1503770
008,3142314
008,3133622
008,2594270
008,591625
008,4128209
008,1203006
008,1402876
008,4244449
008,4427039
008,2936607
008,2192627
008,191245
008,3686430
008,1910111
008,1059364
008,1207785
008,994225
008,2650107
008,3696367
008,875392
008,3326283
008,1854032
008,753732
008,3527525
011,2547857
011,2208028
011,1487723
011,3149769
011,3445794
011,3203444
011,3945186
011,866808
011,1487739
011,1952708
011,909868
011,2483780
011,3680941
011,1178674
011,3407309
011,677503
011,3188994
011,1746596
011,618219
011,680829
011,4351441
011,619150
011,4351445
011,333853
011,2220435
011,1064377
011,4033854
011,3749776
011,4491452
011,1436245
011,2733919
011,1953071
011,390776
011,1147476
011,1952916
011,859278
011,3405900
011,3199412
011,903038
011,2733921
011,2958534
011,3262225
011,3202001
011,2862902
011,333844
011,210613
011,2678100
011,618053
011,3751423
011,2285418
011,938891
011,676301
011,2659426
011,3636117
011,2483727
011,2862531
011,1086678
011,2742526
011,199845
011,1148813
011,4259043
011,3406125
011,910325
011,619529
011,1231975
011,3468361
011,560684
011,2323931
011,4377555
011,1487740
011,912958
011,1084198
011,1770443
